[2019-12-10 19:24:51,710]-ERROR: test_01__ page_view埋点异常 line43
[2019-12-10 19:27:04,027]-ERROR: test_01__ home_open埋点异常 line38
[2019-12-10 19:27:04,428]-ERROR: test_01__ device_opened埋点异常 line56
[2019-12-10 19:27:04,575]-ERROR: test_01__ is_open_push埋点异常 line86
[2019-12-10 19:27:04,593]-ERROR: test_01__ urban_geographical_location埋点异常 line101
[2019-12-10 19:27:48,982]-ERROR: test_01__ device_opened埋点异常 line38
[2019-12-10 19:27:49,185]-ERROR: test_01__ on_app_session_over埋点异常 line53
[2019-12-10 19:28:44,465]-ERROR: test_01__ on_click_navbar_search埋点异常 line38
[2019-12-10 19:30:28,297]-ERROR: test_01__ welfare_home_click_section埋点异常 line40
[2019-12-10 19:30:28,348]-ERROR: test_01__ 美购品类聚合page_view埋点异常 line57
[2019-12-10 19:31:17,510]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2019-12-10 19:31:17,555]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2019-12-10 19:31:59,089]-ERROR: testbuild__ 搜索search_result_open埋点异常 line47
[2019-12-10 19:31:59,146]-ERROR: testbuild__ 搜索do_search埋点异常 line57
[2019-12-10 19:33:08,983]-ERROR: test_01__ 搜索search_result_open埋点异常 line46
[2019-12-10 19:33:09,024]-ERROR: test_01__ 搜索do_search埋点异常 line56
[2019-12-10 19:35:19,277]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2019-12-10 19:35:19,315]-ERROR: test_01__ 搜索do_search埋点异常 line58
[2019-12-10 19:36:13,973]-ERROR: test_01__ 搜索search_result_open埋点异常 line48
[2019-12-10 19:36:14,013]-ERROR: test_01__ 搜索do_search埋点异常 line58
